
RL Dias,58,55,5,1573,121,31.46,2315,3,11,2,67.94
N Dickwella,52,49,1,1571,116,32.72,1679,1,9,2,93.56
DR Smith,105,89,5,1560,97,18.57,1683,14,8,0,92.69
UT Khawaja,40,39,2,1554,104,42,1848,2,12,2,84.09
IK Pathan,120,87,21,1544,83,23.39,1941,7,5,0,79.54
RN ten Doeschate,33,32,9,1541,119,67,1757,1,9,5,87.7
DL Houghton,63,60,2,1530,142,26.37,2155,5,12,1,70.99
LRD Mendis,79,74,9,1527,80,23.49,2034,4,7,0,75.07
Azhar Mahmood,143,110,26,1521,67,18.1,1988,9,3,0,76.5
RS Morton,56,51,6,1519,110,33.75,2289,7,10,2,66.36
JJ Crowe,75,71,12,1518,88,25.72,2456,6,7,0,61.8
JM Kemp,85,66,18,1512,100,31.5,1819,6,10,1,83.12
RD Shah,56,55,1,1506,113,27.88,2298,5,12,1,65.53
MA Ouma,80,77,5,1501,61,20.84,2525,6,7,0,59.44
HJH Marshall,66,62,9,1454,101,27.43,1990,3,12,1,73.06
DD Ebrahim,82,76,6,1443,121,20.61,2540,8,4,1,56.81
MR Marsh,53,49,9,1428,102,35.7,1534,4,11,1,93.08
Nasir Jamshed,48,48,3,1418,112,31.51,1881,5,8,3,75.38
SO Hetmyer,43,40,3,1416,139,38.27,1323,2,4,5,107.02
HA Gomes,83,64,15,1415,101,28.87,2578,5,6,1,54.88
N Boje,115,71,18,1414,129,26.67,1594,2,4,2,88.7
MO Odumbe,61,59,5,1409,83,26.09,2014,6,11,0,69.96
P Utseya,164,132,48,1406,68,16.73,2410,16,4,0,58.34
E Lewis,48,45,2,1402,176,32.6,1704,2,7,2,82.27
L Ronchi,85,68,9,1397,170,23.67,1220,7,4,1,114.5
GP Howarth,70,65,5,1384,76,23.06,2301,1,6,0,60.14
JD Ryder,48,42,1,1362,107,33.21,1429,5,6,3,95.31
BC Broad,34,34,0,1361,106,40.02,2447,2,11,1,55.61
DO Obuya,74,73,3,1355,93,19.35,2135,10,6,0,63.46
KM Jadhav,71,50,18,1354,120,42.31,1325,2,6,2,102.18
Asad Shafiq,60,58,4,1336,84,24.74,1979,5,9,0,67.5
PG Fulton,49,46,5,1334,112,32.53,1833,2,8,1,72.77
Sabbir Rahman,66,59,7,1333,102,25.63,1461,5,6,1,91.23
KMDN Kulasekara,184,123,37,1327,73,15.43,1629,13,4,0,81.46
JR Hopes,84,61,8,1326,63,25.01,1415,1,3,0,93.71
SM Katich,45,42,5,1324,107,35.78,1926,3,9,1,68.74
Javed Omar,59,59,4,1312,85,23.85,2528,2,10,0,51.89
Raqibul Hasan,55,54,7,1308,89,27.82,2133,6,8,0,61.32
AA Obanda,49,45,2,1306,96,30.37,1764,2,9,0,74.03
MS Sinclair,54,50,4,1304,118,28.34,2086,8,8,2,62.51
PN Kirsten,40,40,6,1293,97,38.02,2308,0,9,0,56.02
J Charles,48,48,0,1283,130,26.72,1531,7,4,2,83.8
MJ Prior,68,62,9,1282,87,24.18,1670,5,3,0,76.76
Nasir Hossain,65,52,8,1281,100,29.11,1605,4,6,1,79.81
TM Head,42,39,2,1273,128,34.4,1414,1,10,1,90.02
NR Mongia,140,96,33,1272,69,20.19,1846,4,2,0,68.9
C Munro,57,53,2,1271,87,24.92,1214,7,8,0,104.69
JEC Franklin,110,80,27,1270,98,23.96,1651,5,4,0,76.92
AB Agarkar,191,113,26,1269,95,14.58,1574,10,3,0,80.62
Shoaib Mohammad,63,58,6,1269,126,24.4,2492,8,8,1,50.92
Basit Ali,50,43,6,1265,127,34.18,1669,3,9,1,75.79
MN Waller,79,72,6,1259,99,19.07,1639,10,5,0,76.81
MD Gunathilaka,38,37,1,1249,133,34.69,1454,1,8,2,85.9
JDS Neesham,59,50,10,1247,97,31.17,1260,2,6,0,98.96
SP O'Donnell,87,64,15,1242,74,25.34,1534,5,9,0,80.96
RR Rossouw,36,35,3,1239,132,38.71,1313,5,7,3,94.36
Harbhajan Singh,236,128,35,1237,49,13.3,1526,17,0,0,81.06
SG Law,54,51,5,1237,110,26.89,1643,3,7,1,75.28
Alok Kapali,69,66,3,1235,115,19.6,1817,5,5,1,67.96
GM Hamilton,38,38,3,1231,119,35.17,1847,1,7,2,66.64
D Mongia,57,51,7,1230,159,27.95,1721,4,4,1,71.47
RW Marsh,92,76,15,1225,66,20.08,1489,7,4,0,82.26
